id	text
1	Looks like the confetti got the memo! 🎉🕺
2	When you realize mid-hug that you left the stove on.
3	When the Wi-Fi's so slow, even the loading screen needs a coffee break!
4	"When your WiFi connection gets stage fright."
5	Looks like this GIF is playing hide and seek—and winning! 🎉
6	"Cat decided the floor needed a purrsonal touch!"
7	When even the internet can't find itself, you know it's a Monday!
8	"When your GPS suggests you turn left into a parallel universe."
9	"Happy little trees, meet their creator—Bob Ross, the original quiet storm."
10	When you throw a party and forget to invite anyone, but the confetti shows up anyway.
