id	url
1	https://media.giphy.com/media/ICOgUNjpvO0PC/giphy.gif
2	https://media.giphy.com/media/l0HlOvJ7yaacpuSas/giphy.gif
3	https://media.giphy.com/media/3oEjI6SIIHBdRxXI40/giphy.gif
4	https://media.giphy.com/media/xTiTnqUxyWBSYJ5jw8/giphy.gif
5	https://media.giphy.com/media/6brH8dM3zeQPC/giphy.gif
6	https://media.giphy.com/media/13borq7Zo2kulO/giphy.gif
7	https://media.giphy.com/media/l0Exk8EUzSLsrEr6M/giphy.gif
8	https://media.giphy.com/media/26tPoyDhjiJ2g7rEs/giphy.gif
9	https://media.giphy.com/media/d31vTpVi1LAcDvdm/giphy.gif
10	https://media.giphy.com/media/26gJAUu8h1YyqS20w/giphy.gif
